Bundesland,Bildung,Altersgr,ErwerbStatus,GeimpftGenesen,Anz
2,0,29.5,0,0,17
2,0,39.5,1,1,3
2,0,39.5,1,3,1
2,0,39.5,1,2,1
2,0,39.5,1,0,4
2,0,39.5,0,1,8
2,0,39.5,0,3,1
2,0,39.5,0,2,5
2,0,39.5,0,0,11
2,0,49.5,1,1,1
2,0,49.5,1,3,1
2,0,49.5,1,2,2
2,0,49.5,1,0,3
2,0,49.5,0,1,5
2,0,49.5,0,0,1
2,0,59.5,1,1,1
2,0,59.5,1,2,1
2,0,59.5,1,0,2
2,0,59.5,0,1,10
2,0,59.5,0,0,3
3,1,29.5,1,1,5558
3,1,29.5,1,3,2397
3,1,29.5,1,2,3654
3,1,29.5,1,0,3741
3,1,29.5,0,1,3686
3,1,29.5,0,3,1220
3,1,29.5,0,2,2199
3,1,29.5,0,0,3241
3,1,39.5,1,1,8202
3,1,39.5,1,3,3805
3,1,39.5,1,2,4333
3,1,39.5,1,0,4236
3,1,39.5,0,1,3428
3,1,39.5,0,3,1122
3,1,39.5,0,2,1804
3,1,39.5,0,0,2502
3,1,49.5,1,1,11415
3,1,49.5,1,3,4523
3,1,49.5,1,2,3701
3,1,49.5,1,0,4234
3,1,49.5,0,1,4458
3,1,49.5,0,3,1135
3,1,49.5,0,2,1282
3,1,49.5,0,0,2456
3,1,59.5,1,1,9961
3,1,59.5,1,3,3281
3,1,59.5,1,2,2021
3,1,59.5,1,0,2789
3,1,59.5,0,1,14727
3,1,59.5,0,3,3166
3,1,59.5,0,2,1964
3,1,59.5,0,0,4816
3,2,29.5,1,1,24628
3,2,29.5,1,3,14458
3,2,29.5,1,2,16738
3,2,29.5,1,0,12169
3,2,29.5,0,1,4506
3,2,29.5,0,3,1972
3,2,29.5,0,2,4093
3,2,29.5,0,0,3688
3,2,39.5,1,1,32188
3,2,39.5,1,3,20134
3,2,39.5,1,2,18503
3,2,39.5,1,0,13023
3,2,39.5,0,1,4442
3,2,39.5,0,3,1699
3,2,39.5,0,2,2725
3,2,39.5,0,0,3016
3,2,49.5,1,1,55581
3,2,49.5,1,3,27476
3,2,49.5,1,2,16443
3,2,49.5,1,0,14807
3,2,49.5,0,1,7563
3,2,49.5,0,3,1895
3,2,49.5,0,2,2046
3,2,49.5,0,0,3463
3,2,59.5,1,1,49874
3,2,59.5,1,3,19878
3,2,59.5,1,2,8195
3,2,59.5,1,0,10028
3,2,59.5,0,1,41357
3,2,59.5,0,3,10022
3,2,59.5,0,2,4444
3,2,59.5,0,0,9371
3,3,29.5,1,1,13999
3,3,29.5,1,3,10645
3,3,29.5,1,2,6226
3,3,29.5,1,0,3955
3,3,29.5,0,1,2868
3,3,29.5,0,3,1613
3,3,29.5,0,2,1703
3,3,29.5,0,0,1535
3,3,39.5,1,1,15064
3,3,39.5,1,3,11177
