C-B00-0;C-BILIMST-0;C-ALTGRIMST-0;C-ESIMST-0;C-IMST-0;F-DATA
B00-1;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-4;2
B00-1;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-1;2
B00-1;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-2;1
B00-1;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-3;2
B00-1;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-4;6
B00-1;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-1;1
B00-1;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-2;1
B00-1;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-3;3
B00-1;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-4;1
B00-1;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-1;2
B00-1;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-3;1
B00-1;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-4;4
B00-1;BILIMST-99;ALT10IMST-7;ESIMST-1;IMST-4;1
B00-1;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-1;1
B00-1;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-4;1
B00-2;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-1;1835
B00-2;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-2;534
B00-2;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-3;1254
B00-2;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-4;1620
B00-2;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-1;1127
B00-2;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-2;271
B00-2;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-3;636
B00-2;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-4;1364
B00-2;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-1;2239
B00-2;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-2;728
B00-2;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-3;1281
B00-2;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-4;1484
B00-2;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-1;1112
B00-2;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-2;248
B00-2;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-3;518
B00-2;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-4;1058
B00-2;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-1;2963
B00-2;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-2;786
B00-2;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-3;928
